Creek,Season,Site,Year,Lat (N),Long (W),Temperature,Oxygen (mg/L,,,,
Ashwabenon,Spring,2,2020,44.444439,-88.09966,16.8,6.2,,,,
Ashwabenon,Spring,3,2020,44.42565,-88.12509,13.9,7.21,,,,
Ashwabenon,Spring,4,2020,44.41317,-88.12713,17.8,5.57,,,,
Ashwabenon,Spring,6,2020,44.39502,-88.15813,15.6,7.4,,,,
Ashwabenon,Spring,8,2020,44.38578,-88.19092,16.8,5.75,,,,
Ashwabenon,Summer,2,2020,44.444439,-88.09966,21.3,6.53,,,,
Ashwabenon,Summer,3,2020,44.42565,-88.12509,21.5,7.69,,,,
Ashwabenon,Summer,4,2020,44.41317,-88.12713,20.7,6.7,,,,
Ashwabenon,Summer,6,2020,44.39502,-88.15813,20,6.27,,,,
Ashwabenon,Fall,2,2020,44.444439,-88.09966,12.95,8.35,,,,
Ashwabenon,Fall,3,2020,44.42565,-88.12509,14.06,5.43,,,,
Ashwabenon,Fall,4,2020,44.41317,-88.12713,17.59,7.08,,,,
Ashwabenon,Fall,8,2020,44.38578,-88.19092,15.4,6.73,,,,
Ashwabenon,Spring,2,2021,44.444439,-88.09966,22,2.99,,,,
Ashwabenon,Spring,3,2021,44.42565,-88.12509,17.3,3.25,,,,
Ashwabenon,Spring,4,2021,44.41317,-88.12713,21.4,1.73,,,,
Ashwabenon,Spring,6,2021,44.39502,-88.15813,23.6,3.79,,,,
Ashwabenon,Summer,2,2021,44.444439,-88.09966,18.7,6.85,,,,
Ashwabenon,Summer,3,2021,44.42565,-88.12509,18.6,7.97,,,,
Ashwabenon,Summer,4,2021,44.41317,-88.12713,18.5,6.95,,,,
Ashwabenon,Summer,6,2021,44.39502,-88.15813,19.2,7.32,,,,
Ashwabenon,Summer,8,2021,44.38578,-88.19092,18.5,4.53,,,,
Ashwabenon,Fall,2,2021,44.444439,-88.09966,18.9,6.75,,,,
Ashwabenon,Fall,3,2021,44.42565,-88.12509,16,6.83,,,,
Ashwabenon,Fall,4,2021,44.41317,-88.12713,13.4,7.66,,,,
Ashwabenon,Fall,6,2021,44.39502,-88.15813,17.5,7.19,,,,
Ashwabenon,Fall,8,2021,44.38578,-88.19092,12.4,7.39,,,,
Ashwabenon,Spring,2,2022,44.444439,-88.09966,16.17,6.83,,,,
Ashwabenon,Spring,3,2022,44.42565,-88.12509,16.51,8.66,,,,
Ashwabenon,Spring,4,2022,44.41317,-88.12713,16.27,7.51,,,,
Ashwabenon,Spring,6,2022,44.39502,-88.15813,17.58,8.91,,,,
Ashwabenon,Spring,8,2022,44.38578,-88.19092,18.48,10.9,,,,
Ashwabenon,Summer,2,2022,44.444439,-88.09966,20.14,4.47,,,,
Ashwabenon,Summer,3,2022,44.42565,-88.12509,18.45,6.69,,,,
Ashwabenon,Summer,4,2022,44.41317,-88.12713,32.4,3.69,,,,
Ashwabenon,Summer,6,2022,44.39502,-88.15813,19.4,2.84,,,,
Ashwabenon,Summer,8,2022,44.38578,-88.19092,19.37,8.47,,,,
Ashwabenon,Fall,2,2022,44.444439,-88.09966,17.43,7.09,,,,
Ashwabenon,Fall,3,2022,44.42565,-88.12509,18,7.59,,,,
Ashwabenon,Fall,4,2022,44.41317,-88.12713,17.62,6.65,,,,
Ashwabenon,Fall,6,2022,44.39502,-88.15813,18.31,6.42,,,,
Ashwabenon,Fall,8,2022,44.38578,-88.19092,11.01,8.77,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,2022,Fall
,,,,,,,,,,2022,Fall
,,,,,,,,,,2022,Fall
,,,,,,,,,,2022,Fall
,,,,,,,,,,2022,Fall
