Year,Season,Site,BLB,BLC,BLG,BRS,BSB,CAP,CMM,CNS,CRC,EMS,FHM,GIS,GRS,JOD,PUS,LMB,NOP,QUB,ROG,WHS,YEP,YEB,Abundance
2020,Spring,2,2,0,0,0,0,0,0,2,19,18,3,0,2,1,0,0,1,,28,8,7,0,91
2020,Spring,3,0,0,1,3,0,0,0,0,30,0,20,0,32,12,0,0,0,,0,36,0,0,134
2020,Spring,4,0,1,1,0,0,0,6,0,43,2,4,0,5,2,0,0,0,,4,22,0,0,90
2020,Spring,6,0,0,1,1,0,0,0,0,13,0,0,0,0,14,0,0,0,,0,0,0,0,29
2020,Spring,8,0,0,0,23,0,0,0,0,2,0,1,0,0,0,0,0,0,,0,0,0,0,26
2020,Summer,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,,7,2,0,0,14
2020,Summer,3,0,0,8,0,0,0,0,0,66,0,1,0,2,2,0,5,0,,0,2,0,0,86
2020,Summer,4,0,0,0,0,0,0,3,0,43,2,2,0,2,7,0,1,0,,5,10,0,0,75
2020,Summer,6,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,,0,0,0,0,10
2020,Fall,2,1,0,2,0,0,0,0,3,52,32,0,3,1,2,2,3,0,,27,5,12,0,145
2020,Fall,3,1,0,10,0,0,0,0,0,42,0,4,0,7,15,4,1,0,,1,10,0,0,95
2020,Fall,4,2,0,0,0,0,0,4,0,46,0,0,0,1,4,0,2,0,,3,6,0,0,68
2020,Fall,8,0,0,0,0,7,0,0,0,3,0,0,0,0,7,0,0,0,,0,0,0,0,17
2021,Spring,2,3,0,2,0,0,0,0,9,57,0,19,0,0,0,1,0,0,,30,13,13,0,147
2021,Spring,3,0,0,2,0,1,0,0,0,45,0,0,0,10,1,2,0,0,,2,7,1,0,71
2021,Spring,4,0,0,0,0,0,0,0,0,107,0,25,0,2,11,0,0,0,0,13,7,0,0,165
2021,Spring,6,0,0,0,0,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,1,0,0,8
2021,Summer,2,1,0,0,0,0,,0,0,10,7,0,0,0,0,0,0,0,,6,1,3,0,28
2021,Summer,3,0,0,0,0,0,0,0,0,32,0,0,0,2,2,0,1,0,1,0,1,0,0,39
2021,Summer,4,1,0,0,0,0,0,0,1,24,0,1,0,1,2,0,0,0,0,8,2,1,0,41
2021,Summer,6,0,0,0,0,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,1,0,0,8
2021,Summer,8,0,0,0,2,0,0,0,0,0,0,21,0,0,1,0,0,0,0,0,1,0,0,25
2021,Fall,2,0,0,0,0,0,,0,0,6,2,0,0,0,0,0,0,0,,2,0,4,0,14
2021,Fall,3,0,0,5,0,0,1,0,0,23,0,3,0,1,8,0,1,0,,1,6,1,0,50
2021,Fall,4,0,0,0,0,0,1,0,0,16,16,0,0,0,4,0,0,0,0,5,1,1,0,44
2021,Fall,6,0,0,0,3,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,17
2021,Fall,8,0,0,0,3,0,0,0,0,0,0,21,0,0,1,0,0,0,0,0,0,0,0,25
2022,Spring,2,0,0,0,0,0,0,0,0,18,3,2,0,0,0,0,0,0,0,4,4,7,0,38
2022,Spring,3,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,13
2022,Spring,4,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,14,2,0,1,22
2022,Spring,6,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,12
2022,Spring,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,Summer,2,0,0,0,0,0,0,0,3,31,1,0,0,1,0,0,0,0,0,7,5,3,0,51
2022,Summer,3,0,0,0,16,0,0,0,0,35,0,0,0,0,24,0,2,0,0,0,5,0,0,82
2022,Summer,4,0,0,0,1,0,0,0,2,29,0,0,0,0,4,0,1,1,0,2,0,2,0,42
2022,Summer,6,0,0,0,2,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,1,0,0,14
2022,Summer,8,0,0,0,41,0,0,0,0,10,0,0,0,0,21,0,1,0,0,0,3,0,0,76
2022,Fall,2,2,0,0,0,0,0,0,0,17,33,0,0,1,2,0,0,1,0,10,2,4,0,72
2022,Fall,3,0,0,3,5,0,0,0,0,12,0,0,0,0,3,2,0,1,0,0,4,0,0,30
2022,Fall,4,0,0,0,0,0,0,0,1,26,2,0,0,1,0,0,0,0,0,5,0,1,0,36
2022,Fall,6,0,0,0,7,0,0,0,0,12,0,0,0,5,5,0,0,0,0,0,1,0,0,30
2022,Fall,8,0,0,0,48,0,0,0,0,19,0,0,0,0,14,0,0,0,0,0,1,0,0,82
